,title,year,counts,longitude,latitude,distance,dist_arange,year_arange
4436,코마이스케이프 홍대점,201704,1,126.92082959999999,37.5501139,0.40131228821189385,500m,2017
4437,코마이스케이프 홍대점,201801,2,126.92082959999999,37.5501139,0.40131228821189385,500m,2018
4438,코마이스케이프 홍대점,201802,2,126.92082959999999,37.5501139,0.40131228821189385,500m,2018
4439,코마하,201401,2,126.9193529,37.5548912,0.6174199129574844,1000m,2014
4440,코마하,201402,1,126.9193529,37.5548912,0.6174199129574844,1000m,2014
4441,코만스,201503,6,126.92089529972428,37.54997529991765,0.40262235340231883,500m,2015
4442,코만스,201504,7,126.92089529972428,37.54997529991765,0.40262235340231883,500m,2015
4443,코만스,201601,3,126.92089529972428,37.54997529991765,0.40262235340231883,500m,2016
4444,코만스,201604,1,126.92089529972428,37.54997529991765,0.40262235340231883,500m,2016
4445,코만스,201704,2,126.92089529972428,37.54997529991765,0.40262235340231883,500m,2017
4446,코만스,201801,1,126.92089529972428,37.54997529991765,0.40262235340231883,500m,2018
4447,코만스 홍대점,201701,5,126.92150730106941,37.549888165227884,0.35997990539209296,500m,2017
4448,코미치,201701,2,126.92941489972428,37.55508339991765,0.551600782196233,1000m,2017
4449,코믹텐트,201602,2,126.9226682,37.5520813,0.21112015931988762,500m,2016
4450,코믹텐트,201603,2,126.9226682,37.5520813,0.21112015931988762,500m,2016
4451,코발트무드,201801,1,126.92567779999999,37.56106079999999,1.0530843746781589,1500m,2018
4452,코칭심리카페,201801,1,126.92345109972428,37.55504179991765,0.40621809972027617,500m,2018
4453,코칭심리카페,201802,1,126.92345109972428,37.55504179991765,0.40621809972027617,500m,2018
4454,코코로카라,201801,1,126.9184971,37.559288200000005,1.0285582055947584,1500m,2018
4455,코코무드,201801,1,126.922716,37.564145700000005,1.4078779352860207,1500m,2018
4456,코코브루니 홍대점,201204,1,126.92443899972427,37.55665099991765,0.5638217405555094,1000m,2012
4457,코코브루니 홍대점,201301,1,126.92443899972427,37.55665099991765,0.5638217405555094,1000m,2013
4458,코코브루니 홍대점,201302,1,126.92443899972427,37.55665099991765,0.5638217405555094,1000m,2013
4459,코코브루니 홍대점,201303,3,126.92443899972427,37.55665099991765,0.5638217405555094,1000m,2013
4460,코코브루니 홍대점,201304,3,126.92443899972427,37.55665099991765,0.5638217405555094,1000m,2013
4461,코코브루니 홍대점,201401,3,126.92443899972427,37.55665099991765,0.5638217405555094,1000m,2014
4462,코코브루니 홍대점,201402,1,126.92443899972427,37.55665099991765,0.5638217405555094,1000m,2014
4463,코코브루니 홍대점,201404,6,126.92443899972427,37.55665099991765,0.5638217405555094,1000m,2014
4464,코코브루니 홍대점,201501,2,126.92443899972427,37.55665099991765,0.5638217405555094,1000m,2015
4465,코코브루니 홍대점,201502,2,126.92443899972427,37.55665099991765,0.5638217405555094,1000m,2015
4466,코코브루니 홍대점,201503,2,126.92443899972427,37.55665099991765,0.5638217405555094,1000m,2015
4467,코코브루니 홍대점,201504,2,126.92443899972427,37.55665099991765,0.5638217405555094,1000m,2015
